Name,ADSL,Cable,Part Fibre
Achonry,TRUE,FALSE,FALSE
Aclare,FALSE,FALSE,TRUE
Ballaghnatrillick,TRUE,FALSE,FALSE
Ballinafad,FALSE,FALSE,TRUE
Ballincar,FALSE,FALSE,TRUE
Ballindoon,TRUE,FALSE,FALSE
Ballinfull,TRUE,FALSE,FALSE
Ballinode,FALSE,FALSE,TRUE
Ballintogher,FALSE,FALSE,TRUE
Ballisodare,FALSE,FALSE,TRUE
Ballygawley,FALSE,FALSE,TRUE
Ballymote,FALSE,FALSE,TRUE
Ballynacarrow,TRUE,FALSE,FALSE
Ballysadare,FALSE,FALSE,TRUE
Banada,FALSE,FALSE,TRUE
Belladrihid,FALSE,FALSE,TRUE
Bellahy,TRUE,FALSE,FALSE
Beltra,TRUE,FALSE,FALSE
Boyle,FALSE,FALSE,TRUE
Bunnanaddan,TRUE,FALSE,FALSE
Bunnanadden,TRUE,FALSE,FALSE
Calry,FALSE,FALSE,TRUE
Carney,TRUE,FALSE,FALSE
Carraroe,FALSE,FALSE,TRUE
Carrowmore,FALSE,FALSE,TRUE
Carrowneden,TRUE,FALSE,FALSE
Carrowpadeen,TRUE,FALSE,FALSE
Cashelgarran,FALSE,FALSE,TRUE
Castlebaldwin,TRUE,FALSE,FALSE
Castleconor,FALSE,FALSE,TRUE
Castlegal,FALSE,FALSE,TRUE
Chaffpool,FALSE,FALSE,TRUE
Chapel Street,FALSE,FALSE,TRUE
Cliffony,FALSE,FALSE,TRUE
Cloghboley,TRUE,FALSE,FALSE
Clogherevagh,FALSE,FALSE,TRUE
Cloonacool,TRUE,FALSE,FALSE
Cloonkeelaun,TRUE,FALSE,FALSE
Cloonkeevy,FALSE,FALSE,TRUE
Cloonloogh,FALSE,FALSE,TRUE
Cloonycarney,TRUE,FALSE,FALSE
Collooney,FALSE,FALSE,TRUE
Coolaney,FALSE,FALSE,TRUE
Corbally,TRUE,FALSE,FALSE
Culfadda,TRUE,FALSE,FALSE
Culleens,TRUE,FALSE,FALSE
Curry,FALSE,FALSE,TRUE
Drinaghan,TRUE,FALSE,FALSE
Dromard,TRUE,FALSE,FALSE
Dromore West,FALSE,FALSE,TRUE
Drum,FALSE,FALSE,TRUE
Drumard,TRUE,FALSE,FALSE
Drumcliff,FALSE,FALSE,TRUE
Drumcliffe,FALSE,FALSE,TRUE
Drumfin,FALSE,FALSE,TRUE
Drummacool,TRUE,FALSE,FALSE
Easky,FALSE,FALSE,TRUE
Enniscrone,TRUE,FALSE,FALSE
Geevagh,TRUE,FALSE,FALSE
Glencar,FALSE,FALSE,TRUE
Gorteen,TRUE,FALSE,FALSE
Grange,FALSE,FALSE,TRUE
Graniamore,FALSE,FALSE,TRUE
Gurteen,TRUE,FALSE,FALSE
Inishcrone,TRUE,FALSE,FALSE
Kesh,FALSE,FALSE,TRUE
Kilglass,TRUE,FALSE,FALSE
Killavil,FALSE,FALSE,TRUE
Kilmactranny,TRUE,FALSE,FALSE
Knocknahur,FALSE,FALSE,TRUE
Largan,TRUE,FALSE,FALSE
Lavagh,TRUE,FALSE,FALSE
Liskeagh,TRUE,FALSE,FALSE
Lissadell,TRUE,FALSE,FALSE
Loughanaboll,TRUE,FALSE,FALSE
Lugdoon,TRUE,FALSE,FALSE
Monasteraden,TRUE,FALSE,FALSE
Moneygold,TRUE,FALSE,FALSE
Mount Temple,TRUE,FALSE,FALSE
Moylough,TRUE,FALSE,FALSE
Mullaghmore,TRUE,FALSE,FALSE
Mullaghroe,FALSE,FALSE,TRUE
Mullanys Cross,TRUE,FALSE,FALSE
Owenbeg,TRUE,FALSE,FALSE
Raghly,TRUE,FALSE,FALSE
Rathcormac,FALSE,FALSE,TRUE
Rathcormack,FALSE,FALSE,TRUE
Rathedmond,FALSE,FALSE,TRUE
Rathlee,TRUE,FALSE,FALSE
Riverstown,FALSE,FALSE,TRUE
Rosses Point,TRUE,FALSE,FALSE
Skreen,TRUE,FALSE,FALSE
Sligo,FALSE,FALSE,TRUE
Sooey,TRUE,FALSE,FALSE
Strandhill,FALSE,FALSE,TRUE
Templeboy,TRUE,FALSE,FALSE
Tobercurry,FALSE,FALSE,TRUE
Toberscanavan,FALSE,FALSE,TRUE
Toorlestraun,FALSE,FALSE,TRUE
Tubbercurry,FALSE,FALSE,TRUE
